요일,시간대,강좌명,강좌담당교수,배정강의실,강의실명,수강인원
목,11:00,캡스톤디자인심화실무,고철영,1203,ICC실습ZONE(1203),12
목,11:00,MIT보안,박상렬,1216,크리에이티브실습실(1216),33
목,11:00,M서버프로그램구현(1),나기수,1217,컴퓨터실습실(1217),39
목,11:00,텍스트&영상처리,조상구,1215,컴퓨터실습실(1215),15
목,12:00,M화면구현(2),유선주,1203,ICC실습ZONE(1203),37
목,12:00,MIoT응용,정환익,1216,크리에이티브실습실(1216),26
목,12:00,자바프로그래밍(2),안철훈,1215,컴퓨터실습실(1215),23
목,13:00,캡스톤디자인심화실무,고철영,1203,ICC실습ZONE(1203),12
목,13:00,M빅데이터처리,유소율,1215,컴퓨터실습실(1215),30
목,14:00,M애플리케이션배포,유소율,1216,크리에이티브실습실(1216),38
목,14:00,M애플리케이션테스트수행,홍주영,1203,ICC실습ZONE(1203),37
목,14:00,M인공지능실습,신효영,1215,컴퓨터실습실(1215),16
목,15:00,M앱프로그래밍(1),배희호,1216,크리에이티브실습실(1216),28
목,15:00,캡스톤디자인,정환익,1215,컴퓨터실습실(1215),36
목,15:00,M인공지능실습,신효영,1203,ICC실습ZONE(1203),16
목,16:00,웹프로그래밍(2),안철훈,1215,컴퓨터실습실(1215),23
목,16:00,데이터분석실습,조문석,1203,ICC실습ZONE(1203),14
목,17:00,IoT시스템개발,정환익,1203,ICC실습ZONE(1203),12
목,17:00,M서버프로그램구현(1),나기수,1216,크리에이티브실습실(1216),26
목,17:00,M애플리케이션테스트수행,홍주영,1215,컴퓨터실습실(1215),27
금,09:00,M프로그래밍언어활용(1),배희호,1203,ICC실습ZONE(1203),41
금,09:00,M프로젝트실습(1),이정훈,1216,크리에이티브실습실(1216),19
금,10:00,M화면구현(2),유선주,1203,ICC실습ZONE(1203),32
금,10:00,M애플리케이션테스트수행,홍주영,1216,크리에이티브실습실(1216),27
금,10:00,M앱프로그래밍(1),배희호,1217,컴퓨터실습실(1217),38
금,10:00,SQL활용(2),서공원,1215,컴퓨터실습실(1215),24
금,11:00,캡스톤디자인심화실무,고철영,1203,ICC실습ZONE(1203),12
금,11:00,M화면구현(2),유선주,1216,크리에이티브실습실(1216),37
금,11:00,서버프로그램구현(2),안철훈,1215,컴퓨터실습실(1215),16
금,12:00,M애플리케이션배포,유소율,1203,ICC실습ZONE(1203),38
금,12:00,M프로젝트실습(1),이정훈,1215,컴퓨터실습실(1215),39
